epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.185,1.53854,3.78234,1.29079,0.02474,0.42398,0.2551,0.13396,1.19552,3.88468,1.13433,0.0002125,0.0002125,0.0002125
2,94.9861,1.20817,2.31112,1.07556,0.02368,0.52541,0.33305,0.2003,0.99093,3.34698,1.01533,0.000435334,0.000435334,0.000435334
3,141.325,1.00014,1.68664,0.98549,0.75733,0.43763,0.42466,0.30584,0.80786,2.87505,0.91871,0.000655941,0.000655941,0.000655941
4,187.713,0.89862,1.4233,0.95277,0.93134,0.69158,0.89906,0.68946,0.75397,1.98015,0.88972,0.000874321,0.000874321,0.000874321
5,235.388,0.807,1.26759,0.9354,0.92185,0.61511,0.91956,0.71128,0.78584,1.99473,0.92703,0.00109047,0.00109047,0.00109047
6,282.664,0.8552,1.21822,0.95366,0.88417,0.89064,0.96832,0.77546,0.74493,1.25613,0.92779,0.00121906,0.00121906,0.00121906
7,330.821,0.77652,1.11068,0.92017,0.9657,0.89822,0.97818,0.79693,0.65118,1.16439,0.89886,0.00121287,0.00121287,0.00121287
8,377.332,0.77554,1.02369,0.89528,0.9075,0.89435,0.9672,0.78939,0.67748,1.03984,0.89826,0.00120669,0.00120669,0.00120669
9,423.762,0.73309,0.96233,0.90196,0.88841,0.94503,0.98073,0.80905,0.62294,0.9063,0.87749,0.0012005,0.0012005,0.0012005
10,470.492,0.70123,0.88955,0.88249,0.91377,0.95208,0.98821,0.81997,0.56407,0.91713,0.86727,0.00119431,0.00119431,0.00119431
11,516.317,0.64794,0.85927,0.87182,0.95265,0.98071,0.98917,0.83157,0.5858,0.85687,0.87312,0.00118812,0.00118812,0.00118812
12,562.467,0.66383,0.86097,0.88017,0.97251,0.98306,0.994,0.84382,0.54465,0.73529,0.85749,0.00118194,0.00118194,0.00118194
13,608.898,0.64696,0.77825,0.85732,0.97169,0.99469,0.99465,0.8421,0.54501,0.74279,0.85583,0.00117575,0.00117575,0.00117575
14,655.213,0.65201,0.76834,0.87168,0.98263,0.99375,0.99451,0.84845,0.56777,0.74844,0.8617,0.00116956,0.00116956,0.00116956
15,702.229,0.60949,0.75114,0.87179,0.97617,1,0.995,0.82714,0.57686,0.75679,0.86627,0.00116337,0.00116337,0.00116337
16,749.136,0.60251,0.69134,0.85558,0.98958,0.98858,0.9948,0.845,0.53671,0.65207,0.84852,0.00115719,0.00115719,0.00115719
17,795.145,0.60473,0.7108,0.85361,0.99454,0.99424,0.995,0.84377,0.54526,0.65756,0.85289,0.001151,0.001151,0.001151
18,841.127,0.6261,0.69618,0.86837,0.98339,1,0.9947,0.8464,0.52447,0.63554,0.84251,0.00114481,0.00114481,0.00114481
19,885.655,0.58276,0.64177,0.84695,0.99187,0.99713,0.9948,0.85943,0.5083,0.61134,0.83716,0.00113863,0.00113863,0.00113863
20,932.37,0.60572,0.63417,0.84977,0.99463,0.99419,0.9949,0.85372,0.55064,0.61617,0.84314,0.00113244,0.00113244,0.00113244
21,979.456,0.61551,0.63043,0.86338,0.98583,0.99821,0.995,0.85241,0.50496,0.56484,0.83759,0.00112625,0.00112625,0.00112625
22,1024.77,0.61206,0.60629,0.8535,0.9936,1,0.995,0.86786,0.51588,0.55729,0.84354,0.00112006,0.00112006,0.00112006
23,1070.15,0.59587,0.60767,0.8547,0.99588,0.98565,0.995,0.85157,0.52949,0.58772,0.84464,0.00111388,0.00111388,0.00111388
