epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1306,1.08433,2.76622,1.28211,0.34412,0.94836,0.89246,0.73475,0.61646,2.80913,0.96932,0.00024442,0.00024442,0.00024442
2,94.8087,0.92922,1.38549,1.25794,0.89731,0.74178,0.88004,0.72756,0.70744,1.43602,1.02969,0.000495,0.000495,0.000495
3,136.847,0.8408,1.13388,1.19037,0.86755,0.85915,0.91173,0.73393,0.64224,1.56802,0.99304,0.000740521,0.000740521,0.000740521
4,178.589,0.81077,1.04098,1.16617,0.85935,0.80282,0.89261,0.69412,0.80004,1.1574,1.10727,0.000980983,0.000980983,0.000980983
5,219.211,0.84777,1.02539,1.17045,0.79335,0.8169,0.87545,0.65206,0.8345,1.46945,1.12458,0.001067,0.001067,0.001067
6,261.82,0.84912,0.92076,1.17165,0.82902,0.79671,0.87779,0.66262,0.8901,1.19007,1.21889,0.00105601,0.00105601,0.00105601
7,307.907,0.83623,0.94812,1.16089,0.93833,0.78584,0.91359,0.73131,0.77995,1.05183,1.08026,0.00104501,0.00104501,0.00104501
8,353.705,0.81259,0.91143,1.16794,0.89349,0.87793,0.93734,0.74571,0.78216,1.01195,1.10406,0.00103401,0.00103401,0.00103401
9,396.994,0.76563,0.80832,1.10609,0.8847,0.87793,0.92339,0.71235,0.75706,1.066,1.10488,0.00102301,0.00102301,0.00102301
10,438.883,0.783,0.82384,1.13552,0.86755,0.76881,0.86061,0.62273,0.91281,1.27896,1.18138,0.00101201,0.00101201,0.00101201
11,480.821,0.7734,0.81944,1.1315,0.87275,0.76526,0.82734,0.61629,0.82323,1.19195,1.12491,0.00100101,0.00100101,0.00100101
12,524.005,0.72979,0.75302,1.08418,0.9092,0.90141,0.9487,0.7864,0.60209,0.79835,0.93805,0.000990012,0.000990012,0.000990012
13,567.516,0.75147,0.75577,1.10139,0.93921,0.87047,0.93183,0.73846,0.70644,0.87825,1.00906,0.000979013,0.000979013,0.000979013
14,609.818,0.76707,0.7694,1.11502,0.91549,0.88732,0.92771,0.74919,0.64495,0.8849,0.98879,0.000968014,0.000968014,0.000968014
15,652.465,0.72287,0.72064,1.08596,0.91228,0.87892,0.93375,0.77466,0.62059,0.75107,0.97321,0.000957015,0.000957015,0.000957015
16,694.751,0.74175,0.74196,1.1014,0.89707,0.92019,0.96489,0.79342,0.65069,0.76612,0.97451,0.000946016,0.000946016,0.000946016
17,740.03,0.76321,0.70625,1.11906,0.89022,0.90141,0.95752,0.79512,0.63881,0.75906,0.98049,0.000935018,0.000935018,0.000935018
18,785.968,0.7094,0.67981,1.08571,0.92469,0.92232,0.96055,0.79956,0.61249,0.69873,0.98726,0.000924019,0.000924019,0.000924019
19,832.013,0.72989,0.69956,1.10905,0.89114,0.88393,0.94373,0.78598,0.63311,0.79876,0.96851,0.00091302,0.00091302,0.00091302
20,875.43,0.74627,0.67768,1.10677,0.93667,0.88732,0.96191,0.79998,0.63068,0.69107,0.96962,0.000902021,0.000902021,0.000902021
21,918.717,0.71999,0.6548,1.09418,0.95902,0.88263,0.95777,0.79527,0.67202,0.68913,1.00876,0.000891022,0.000891022,0.000891022
